steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	200.4115071296692	-13978.9	-13980.5	419.8256404997825	-13080.0	-14945.0	-692.9939	2.3025787	8692.6283203125	-0.006145691256970167	768	-0.19488964317792723
4000	4	405.721492767334	-13773.75	-13710.5	266.2556893387692	-13454.0	-14297.0	-1566.3628	2.302446	5558.214260253906	-0.004793060626834631	1792	0.14603009008691614
6000	8	613.5601758956909	-13641.05	-13678.5	251.26175803856736	-13166.0	-14199.0	-1934.628	2.3007758	4997.34369140625	-0.0025014331005513667	2816	-0.5131242893945032
8000	12	820.3052747249603	-13207.5	-13202.5	339.0620964707761	-12594.0	-13882.0	-2114.9233	2.2968187	5897.943525390625	0.002181498371064663	3840	-0.7468115849669377
10000	16	1021.2170441150665	-13088.45	-13084.0	336.35718405165346	-12461.0	-13599.0	-2120.709	2.2935033	5934.856474609375	-0.0006531677395105362	4864	-1.2249550142748151
12000	20	1226.3030004501343	-12530.1	-12481.5	324.417356275264	-11880.0	-13211.0	-2104.721	2.2812612	5266.238227539063	-0.001342487446963787	5888	-0.7732430807511621
14000	24	1434.222886800766	-11915.55	-11934.0	305.7715822739513	-11341.0	-12421.0	-2071.5986	2.2509127	3304.5471960449217	0.0012350868247449397	6912	-0.9724632482597835
16000	28	1641.2505176067352	-12177.15	-12293.0	352.92630436932507	-11490.0	-12673.0	-1991.8116	2.2552876	2725.3798205566404	-0.004333211667835712	7936	-0.509972270338164
18000	32	1852.2578251361847	-12229.3	-12186.5	351.7252366624595	-11658.0	-12997.0	-2012.1927	2.2577622	5080.474035644531	0.0010773101449012756	8960	0.1441868879528866
20000	36	2062.6354990005493	-11942.15	-11959.5	372.05606184806976	-11358.0	-12729.0	-2020.9011	2.2527401	5082.062197265625	-0.001488195788115263	9984	-0.7262373211632489
22000	40	2272.0432374477386	-11669.1	-11711.5	278.09784344060597	-11141.0	-12079.0	-2012.91	2.2407486	6100.773076171875	-0.0020051911287009717	10752	-0.7836059808567304
24000	44	2483.339707136154	-12223.45	-12253.0	339.27142914129826	-11386.0	-12715.0	-2004.408	2.254314	4149.493913574219	0.0039022909477353096	11776	-0.2087807769947816
26000	48	2693.651324748993	-11946.15	-11852.0	327.9212477666583	-11357.0	-12547.0	-2087.0952	2.2494218	3517.18896484375	0.002713640369474888	12800	-0.2522601662448709
28000	52	2903.9610962867737	-11835.5	-11860.5	310.35522940825825	-11207.0	-12486.0	-2048.409	2.23525	3600.5288659667967	-0.00036890001967549324	13824	-0.1328859870495429
30000	56	3113.576811313629	-11098.35	-11196.5	331.9835561875729	-10372.0	-11825.0	-1975.2552	2.2120137	3830.463115234375	0.004324542563408613	14848	-0.492605790641649
32000	60	3319.044190645218	-10902.55	-10901.5	369.3284766765359	-10465.0	-11747.0	-1876.3102	2.1663022	3265.594842529297	-0.0008281038608402014	15872	0.09448412306707032
34000	64	3522.857855319977	-11344.5	-11317.0	307.1792721899671	-10783.0	-11883.0	-1827.3915	2.215761	3369.223865966797	0.0010524150915443898	16896	-0.42004918733521723
36000	68	3723.8260295391083	-11057.05	-11125.0	408.6695325591391	-10309.0	-11886.0	-1811.4608	2.2007725	3371.547255859375	-0.005353154009208083	17920	-0.15608604419785577
38000	72	3925.5245633125305	-10831.45	-10762.0	299.0223499831972	-10345.0	-11317.0	-1802.527	2.2002761	2733.6887353515626	-0.004111433979123831	18944	-0.4602622649964596
40000	76	4124.9255385398865	-10773.95	-10715.5	311.8330314025187	-10355.0	-11688.0	-1745.8643	2.166245	3524.0175463867185	-0.0025788719579577448	19968	-0.25413253939835
42000	80	4325.766010046005	-11160.65	-11187.5	355.8601551171471	-10411.0	-11750.0	-1753.5675	2.151755	2654.5169104003908	-0.0016623685136437417	20992	-0.8093171463665634
44000	84	4523.508818387985	-11882.55	-11880.0	329.6654564219532	-11197.0	-12539.0	-1807.9955	2.23073	3877.2199719238283	0.00494346085935831	21760	-0.4546772743960774
46000	88	4722.469873428345	-11888.8	-11953.0	242.80045955041916	-11306.0	-12281.0	-1865.1892	2.2436929	3106.2668078613283	0.004689318761229515	22784	-0.4578360674825801
48000	92	4923.027475595474	-11857.25	-11880.5	222.06634262381093	-11375.0	-12214.0	-1828.64	2.2468667	5135.322329101563	-0.001837911456823349	23808	-0.026926141041888396
50000	96	5124.881375551224	-11839.9	-11857.0	257.3643536434597	-11212.0	-12358.0	-1977.5544	2.2426324	3525.1144641113283	-0.002704643215984106	24832	-0.043857162720853715
52000	100	5325.141731262207	-11889.7	-11848.0	272.784877648458	-11552.0	-12772.0	-2063.449	2.2394698	2105.966680908203	-0.003547425512224436	25856	-0.16381585434916923
54000	104	5529.26922082901	-12071.95	-12094.5	394.77101623999437	-11335.0	-12810.0	-1995.3655	2.259646	3172.4880944824217	0.001143395323306322	26880	-0.21397829083540976
56000	108	5728.919896841049	-11557.45	-11493.5	391.16458711203177	-10892.0	-12182.0	-1964.482	2.218372	2436.8713146972655	-0.0015039943344891072	27904	0.07997096286640137
58000	112	5933.240686416626	-10677.4	-10738.0	224.90615586810517	-10330.0	-11023.0	-1892.358	2.184348	3737.30162109375	-0.002586032152175903	28928	-0.2536257930518655
60000	116	6137.333440065384	-10350.3	-10427.0	391.34277611967315	-9688.0	-10991.0	-1757.5754	2.153938	2669.754759521484	0.0028442517668008805	29952	-0.6812059527008418
62000	120	6338.536958217621	-10524.8	-10599.5	342.2477711280312	-9998.0	-11059.0	-1743.7114	2.1701934	2964.8444482421874	-0.00046009760349988935	30976	-0.532242061183628
64000	124	6544.509733200073	-11367.55	-11364.5	323.57078051023086	-10816.0	-11919.0	-1729.876	2.186367	3092.8937890625	-0.002969485800713301	32000	-0.6004423949091195
