steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
2000	0	36.14599323272705	-27283.6761438821	-27261.246120524593	746.6688940065371	-26100.652412300227	-28871.100811575834	-1090.7922	2.3025515	22918.054228515626	-0.006223684139549732	768	0.022420842175372324
4000	4	78.21462440490723	-26523.156555171856	-26447.055668733476	806.6613259233623	-24964.297385303416	-28493.01593066325	-2492.9204	2.3009393	18177.931416015625	0.0045165584422647955	1792	-0.025875225685073167
6000	8	119.44354057312012	-25334.835305948607	-25294.33404362719	690.090670136213	-23598.889287590548	-26951.984704148435	-3051.545	2.2881758	20544.666943359374	9.429058060050011e-05	2816	-0.597883764628006
8000	12	160.78617215156555	-24850.9150548024	-24859.247703274734	747.4042399301665	-23810.527833021744	-26628.34655008443	-3340.151	2.27942	519321.194609375	0.002058828938752413	3840	0.056308722449447624
10000	16	201.9788281917572	-23846.173265634334	-23976.04166853315	563.7388749071001	-22568.233721201457	-24537.8728573607	-3378.6807	2.2570913	576983.4965625	-0.0017505107074975968	4864	-0.07035197999349374
12000	16	243.34889698028564	-21793.54939111301	-21786.24703157419	561.5653667230705	-20648.005908561783	-22953.458230045122	-3461.5452	2.2246773	16903.76291015625	0.001126632746309042	5888	-0.3178646922334094
14000	20	285.01704812049866	-22575.025490601038	-22644.45357326296	546.6722877413634	-21668.02419647574	-23425.810475642968	-3215.1626	2.2253628	11271.430849609374	-0.0010419326089322568	6912	-0.5942657339845734
16000	24	326.573228597641	-23269.079875346193	-23252.871164334207	700.6813135325042	-22131.320008735278	-24913.21581987014	-3144.199	2.24746	11890.758505859376	0.0026161701045930384	7936	-0.6820028235192719
18000	28	368.41467332839966	-23429.330005779695	-23528.49644900787	803.1672613097726	-22064.202188243962	-24610.245680995475	-3081.198	2.2513907	12480.214252929687	-0.004133135499432683	8960	0.021546221442535818
20000	32	409.97957587242126	-22328.492625046285	-22221.323463435052	646.6440434689748	-21334.950694300456	-24021.7518340406	-3150.5417	2.2272758	12990.019614257813	-0.0004908900149166584	9984	-0.5249677262401522
22000	36	445.00689458847046	-21245.19585377309	-21245.557858070973	577.5587480961912	-20014.431204648256	-22195.731705058035	-3285.1592	2.2055938	8384.35171875	-0.0007835466880351305	10752	-0.5500479108195668
24000	36	485.3537404537201	-21755.39627708349	-21778.055985796254	638.2017108155995	-20512.517485698918	-22967.986618244133	-3131.1755	2.220831	8951.603818359376	-3.3340491354465486e-05	11776	0.11350707054666653
26000	40	526.1591160297394	-22390.875544263043	-22407.289146548985	550.8048142256189	-21433.19608740366	-23323.06461827891	-3289.824	2.2257662	8846.379736328125	0.0007096986472606659	12800	-0.3602608271132204
28000	44	567.8942039012909	-21655.94662397091	-21570.847036664112	495.6935211223654	-21052.628014581318	-22685.22480799548	-3079.466	2.2190113	13426.947802734376	0.00045100130140781405	13824	-0.4321250428434862
30000	48	608.9954915046692	-22102.374699252265	-22084.78897052236	518.8870040505323	-21257.23930744284	-23251.512659650245	-2978.6274	2.212745	11374.228315429687	0.005541001744568348	14848	-0.295896365313
32000	52	649.2572073936462	-23188.550261200624	-23163.639628163022	726.6062770955015	-22088.84565989163	-24561.455173256865	-3207.481	2.2195337	514544.448828125	-0.0023449272103607654	15872	-0.0032925581945120186
34000	56	689.4844875335693	-22992.507705568285	-23010.683867708904	772.1593014876437	-21547.849452636376	-24700.99595746088	-3255.362	2.2245963	506324.847578125	0.00030990798026323316	16896	0.04245945261116979
36000	56	731.2225434780121	-22168.50760231915	-22123.693154399334	545.2444511937774	-21176.28310067427	-23134.492230897577	-3281.9456	2.223383	9951.281401367187	0.0056077130697667595	17920	-0.06151019945869285
38000	60	772.5029048919678	-21782.788883548754	-21793.704181683715	395.3098912286608	-21014.01584482365	-22548.606529834906	-3094.8245	2.2299678	10588.297905273437	0.0028103260323405267	18944	0.028120208645576183
40000	64	813.9044780731201	-22408.351194537943	-22554.13521813354	563.4433055818423	-21430.204685433677	-23555.20217334101	-3033.1123	2.2321181	13012.545024414063	0.004671248449012637	19968	-0.9632679393552113
42000	68	857.9803524017334	-21639.605293494213	-21637.823527237124	508.49740596890996	-20794.909456831803	-22819.081935918948	-2930.9631	2.2283502	8170.0159521484375	-0.00169892355799675	20992	-0.31491947502774864
44000	72	898.0287170410156	-21547.143131934983	-21441.150250219416	587.1813240195379	-20499.714404106562	-22749.355482600637	-3000.3193	2.1828978	435988.62453125	-0.0028415188379585744	21760	0.019266035898008127
46000	76	940.9654467105865	-20043.256800278214	-20056.23221285153	645.0036031670614	-18589.970155989522	-21258.047889516998	-3135.873	2.1591425	8631.906066894531	0.005144697800278664	22784	0.30469673867824265
48000	76	982.2823898792267	-19665.18268535869	-19586.000427821808	594.9125770154295	-18602.236331619493	-20926.25625005771	-2977.131	2.13136	6479.7047509765625	-0.0019065773067995905	23808	-0.06976762872804243
50000	80	1019.9671936035156	-20141.599682461354	-19963.124234058756	688.9797347272078	-19034.4283753509	-21323.230725620397	-2951.6792	2.156637	6250.7280786132815	-0.002173424568027258	24832	-0.45561279468741134
52000	84	1061.023508310318	-20432.238653187458	-20441.500007263974	611.238611604594	-19217.463014249395	-21600.67242795603	-2785.7427	2.161647	9320.683671875	0.002499457336962223	25856	-0.17943674291781186
54000	88	1102.278793334961	-18982.3816881905	-18728.789907665414	627.4575944540816	-18340.696286629332	-20752.64089663907	-2755.8516	2.1423745	12002.788662109375	-3.849413245916367e-05	26880	0.03362763212382669
56000	92	1143.5938432216644	-20543.66998634362	-20611.02674831307	582.2371811550115	-19361.04242780418	-21437.228081569767	-2841.484	2.1432211	392745.46078125	-0.002322282511740923	27904	0.06938522373942058
58000	96	1184.6393778324127	-19630.43425639083	-19652.402240195202	644.6642228603027	-18638.97832060459	-21066.73263748821	-2722.786	2.1181126	338610.439609375	-0.003940559141337872	28928	0.03165301188773728
60000	96	1226.1924350261688	-19197.785625890767	-19044.993794154958	619.9410137005727	-18091.158707363025	-20299.106445659978	-2735.974	2.1454728	8056.3394702148435	-0.002797852950170636	29952	-0.3315608102662302
62000	100	1267.1978919506073	-18777.848562287305	-18755.056395022882	545.5292201781167	-17485.155086132738	-19990.913837297307	-2640.3242	2.0981812	4776.249040527344	-0.002625889629125595	30976	-0.06681185597039985
64000	104	1308.3192145824432	-19366.781821857487	-19483.443897146448	686.6888938751615	-18267.044617737534	-20670.02290511307	-2573.7156	2.1019323	6329.3283410644535	-0.00012915682047605513	32000	-0.1641949195526109
66000	108	1343.8882043361664	-19439.074102237828	-19244.501919748793	557.8638941597352	-18740.627212645293	-20628.46749122281	-2609.8894	2.1539364	14237.367431640625	0.000515137929469347	32768	-1.3529522746932652
68000	112	1384.98801779747	-19776.43239468952	-19716.587865847665	492.87679219631667	-18804.931281271398	-20780.57697468933	-2792.581	2.1188664	368189.8396875	0.0010197575110942126	33792	0.013563017104900599
70000	116	1426.634346961975	-20025.762107205675	-20013.645662368413	610.0103794086655	-18668.001484907756	-21021.04434769706	-2863.604	2.1356454	7708.204106445312	0.003483161376789212	34816	-0.23907997932494562
72000	116	1467.6936528682709	-20155.541873569964	-20188.9892840228	659.5652637038734	-18916.826717088716	-21282.57078501285	-2816.4314	2.1745741	8765.428076171875	0.002782618310302496	35840	-0.4528350951242881
74000	120	1509.2460906505585	-20870.538103390063	-20868.78635659538	829.0743785504068	-18725.523627881703	-21970.145171222055	-2916.2585	2.1778128	8607.248364257812	-0.003208192214369774	36864	0.02462676309448808
76000	124	1550.5005388259888	-21202.565548733084	-21093.90922827287	541.9358532854068	-20034.296175180934	-22372.116284049585	-2728.8552	2.185419	7508.416396484375	-0.001244539301842451	37888	-0.22179464676014504
78000	128	1590.8978116512299	-21095.500030020652	-20965.401104639343	528.9489265998807	-20257.631636239134	-22320.454476014464	-2801.585	2.1805184	9707.880639648438	-0.0035866996459662914	38912	-0.7015923748610511
80000	132	1632.0398035049438	-19983.264419869807	-20044.132635363356	443.22026393030626	-19104.65420202846	-20847.15181539547	-2925.9883	2.1325543	404865.188125	0.0005117662250995636	39936	0.027032219208908304
82000	136	1673.453266620636	-21525.3888618292	-21507.33418118263	498.68716534881526	-20736.7558362485	-22302.08801846509	-2914.6675	2.1774101	419920.4528125	-0.0008092372305691242	40960	0.04154894186460989
84000	136	1715.4998843669891	-19850.45444068652	-19763.76740170906	571.2297068480195	-18893.689904109167	-21309.7637123056	-2953.007	2.1770258	6717.186325683594	-0.0010724548250436784	41984	-0.20605885056133144
86000	140	1750.2534234523773	-19021.915961374503	-19184.630035713864	616.8731295124926	-17506.559499778672	-19862.89901102276	-2778.8945	2.121514	5319.251215820313	-0.0018609449826180935	42752	-0.2516653829607949
88000	144	1791.8664011955261	-19321.751058628448	-19232.901772525656	618.4805754732503	-18208.22485945614	-20586.862501586704	-2620.2607	2.0960548	9463.949526367187	0.0029578576050698756	43776	-0.5881361447121318
90000	148	1833.0671172142029	-20025.802184010874	-19951.115947644823	761.2820953360592	-18783.43256449964	-21395.61400092859	-2850.7166	2.1226509	125807.34255371094	-0.0069292840361595155	44800	0.032180318312099776
92000	152	1874.0696172714233	-19741.80766404659	-19573.617849592545	765.1342654754224	-18695.258408701797	-21732.765767658646	-2872.0706	2.1050308	368182.3928125	0.0012197218462824822	45824	0.038530248268944245
94000	156	1915.2585725784302	-19695.176744562676	-19648.82861757458	564.5974579109871	-18457.475146823017	-20914.418054093094	-2882.0085	2.1289837	5592.26982421875	0.00021935269236564637	46848	-0.5892042271961355
96000	156	1956.911273241043	-19470.639467374505	-19437.197391230366	432.2303444693502	-18595.14355482895	-20360.446568658146	-2781.4595	2.1631875	7964.288620605469	0.0006017085537314415	47872	-0.22044840263500998
98000	160	1998.4229085445404	-19331.220129397807	-19470.189586827124	560.0048482556407	-18332.416148029453	-20002.831577173754	-2766.2896	2.1314483	5249.336462402343	-0.0009459378384053707	48896	0.09144185493668167
100000	164	2040.0813148021698	-20214.37979770322	-20404.082679793963	708.4663230799645	-18797.361289547698	-21432.881454355174	-2639.8098	2.1691074	9559.403564453125	0.0014913864620029926	49920	-0.10071228768217022
102000	168	2081.2392160892487	-21030.843467304752	-20826.015304854733	723.2769116371664	-20014.174603667918	-22623.042376615173	-2745.572	2.2055497	11187.6454296875	0.00527665002271533	50944	-0.9604662077878743
104000	172	2122.952483654022	-19740.092469654777	-19791.886285714598	630.6548898246854	-18383.60543642847	-20697.74655634287	-2908.263	2.1239316	394698.693671875	-0.0018071282841265201	51968	0.04706531466634778
106000	176	2164.3507816791534	-21332.172695296504	-21328.579718697703	680.5201088804359	-19894.08760010958	-22336.751615397083	-2855.797	2.1396928	388484.903125	-0.0017439182102680206	52992	0.06318644868541012
108000	176	2199.134579181671	-22343.481118027103	-22426.35657245954	635.5599246848601	-21192.266677197007	-23224.771648426016	-2860.1975	2.2352805	9691.324912109376	-0.0025781763717532156	53760	-0.14041360885193455
110000	180	2236.5333108901978	-20810.60628640111	-20895.651225789537	577.7381294173477	-19642.383887876334	-21665.047197245516	-2915.7976	2.200581	8575.626000976563	0.00080936124548316	54784	-0.01716262081231279
112000	184	2262.7489347457886	-21147.82298389119	-21186.461606461722	582.3412902660541	-20451.833755836535	-22256.62865797546	-2826.0796	2.1936405	11052.482319335937	-0.002752972971647978	55808	-0.7203292636266265
114000	188	2288.4262549877167	-20776.347561674578	-20720.203157230968	812.6226275934599	-19147.87773436115	-22251.286063097934	-2981.0984	2.1616056	256900.3337890625	0.001790388636291027	56832	0.009081974488458933
116000	192	2318.790940284729	-20426.753781849293	-20532.913821884227	694.2181747213765	-18923.701270075686	-21701.394922972297	-2893.99	2.1446896	379295.0653125	0.0073568889498710635	57856	0.010048570348971664
118000	196	2352.3219068050385	-19850.261214680515	-19723.501495816407	904.8570008801697	-18244.01462162281	-21311.06867710944	-2848.8835	2.1647208	4747.339860839844	0.005687617240473628	58880	-0.3580902801074408
120000	196	2381.371037721634	-19489.800716814734	-19460.60554932982	644.7192699444802	-18254.326136893924	-21159.46023615753	-2789.0085	2.147415	6363.511750488281	-0.0010076694749295712	59904	-0.09372838783752235
122000	200	2411.7419617176056	-18967.170537299833	-18993.053550866243	595.5032721241301	-18080.051030216822	-20591.404324815227	-2773.8362	2.1133134	6923.297631835938	0.0037481292709708215	60928	-0.07921980693867514
124000	204	2445.2337577342987	-18358.340415629802	-18229.14978972826	671.1360362186228	-17061.52521122259	-19825.408902215586	-2644.794	2.1001658	4911.904448242188	-0.004459296073764563	61952	-0.3354688342105874
126000	208	2475.431139230728	-19879.797493498547	-19928.10093058112	768.6783055369381	-18286.079583163017	-21142.112694200412	-2640.087	2.098898	8406.50505126953	0.0021895958669483663	62976	-1.7163113089046425
128000	212	2505.977424621582	-20387.7803006211	-20383.634361720226	395.9776863191573	-19540.095226229776	-21126.37430674088	-2777.413	2.1068316	299090.54984375	-0.0018616761267185211	64000	-0.062254203234585415
130000	212	2533.3263080120087	-20603.04302363413	-20488.11184844697	699.3490839046106	-19489.860817909874	-22323.930327731356	-2853.538	2.162484	8447.255693359375	-0.0018196725845336915	64768	-0.32151572907963066
132000	216	2578.607183456421	-21537.450276790496	-21695.485557859553	553.2875828527165	-20189.579417615994	-22385.493800170396	-2939.0461	2.2072887	8577.103735351562	0.005160085279494524	65792	-0.031495627825338435
134000	220	2626.623776435852	-19769.04671285751	-19673.979988362036	443.797321578358	-18995.31410519201	-20560.97748462676	-2870.0789	2.1466641	5352.1141015625	-0.0009044774901121855	66816	-0.076936792581773
136000	224	2674.3496890068054	-19652.487557543704	-19681.62458069463	549.5191080996282	-18660.13898324389	-20501.854565342393	-2747.292	2.1236792	7561.0951318359375	-0.004317583553493023	67840	-0.5146357656052254
